author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Владис;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/303743340/;Долгопрудный;sale;flat;5;9;1;33.0;7500000;;Дирижабельная ;17;Долгопрудная;
САМОЛЕТ ПЛЮС;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/307138253/;Долгопрудный;sale;flat;13;17;1;47.0;9990000;;Набережная ;19к2;Водники;
Владислав Павлов;realtor;https://dolgoprudny.cian.ru/sale/flat/300528219/;Долгопрудный;sale;flat;17;21;2;66.1;12499999;;проспект Ракетостроителей;7к1;Долгопрудная;
ID 80685486;homeowner;https://dolgoprudny.cian.ru/sale/flat/298939520/;Долгопрудный;sale;flat;15;19;1;44.6;10500000;;проспект Ракетостроителей;9к1;Долгопрудная;
Галант;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/303488976/;Долгопрудный;sale;flat;16;23;1;31.3;10950000;;Парковая ;48;Долгопрудная;Бригантина
ID 78332006;homeowner;https://dolgoprudny.cian.ru/sale/flat/307358330/;Долгопрудный;sale;flat;3;19;1;46.7;9800000;;Новое шоссе;10к1;Хлебниково;
ИНКОМ-Недвижимость;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/307822758/;Долгопрудный;sale;flat;9;19;1;47.2;7700000;;Новое шоссе;10к1;Хлебниково;
Этажи Москва;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/307662825/;Долгопрудный;sale;flat;6;23;1;49.5;9970000;;Старое Дмитровское шоссе;17;Водники;Московские водники
ИНКОМ-Недвижимость;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/305980278/;Долгопрудный;sale;flat;11;23;2;60.0;11300000;;Парковая ;44;Хлебниково;Бригантина
ID 90991164;homeowner;https://dolgoprudny.cian.ru/sale/flat/306259589/;Долгопрудный;sale;flat;4;5;2;44.6;7500000;;Театральная ;14;Водники;
